DLY-TMIN-NORMAL,DLY-TMAX-NORMAL,MTD-PRCP-NORMAL,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE
-33,145,2,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100101
-35,144,4,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100102
-36,143,5,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100103
-38,142,7,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100104
-39,141,9,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100105
-41,140,10,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100106
-42,140,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100107
-43,139,13,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100108
-44,139,15,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100109
-45,139,17,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100110
-45,138,19,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100111
-46,139,21,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100112
-47,139,23,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100113
-47,139,25,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100114
-47,140,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100115
-47,140,30,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100116
-48,141,32,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100117
-48,142,34,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100118
-47,143,35,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100119
-47,144,37,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100120
-47,145,39,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100121
-46,146,41,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100122
-46,148,43,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100123
-45,149,44,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100124
-44,151,46,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100125
-43,152,47,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100126
-42,154,49,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100127
-41,156,50,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100128
-40,158,52,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100129
-38,160,54,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100130
-37,162,55,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100131
-35,164,1,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100201
-33,166,3,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100202
-31,169,4,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100203
-29,171,6,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100204
-27,173,7,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100205
-25,176,8,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100206
-22,178,10,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100207
-20,181,11,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100208
-17,183,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100209
-14,186,13,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100210
-11,188,15,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100211
-8,191,16,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100212
-5,194,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100213
-1,196,19,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100214
2,199,21,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100215
6,202,22,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100216
9,205,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100217
13,207,25,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100218
17,210,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100219
21,213,29,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100220
25,216,31,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100221
29,219,32,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100222
33,223,34,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100223
38,226,36,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100224
42,229,38,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100225
47,232,40,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100226
52,236,42,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100227
56,239,44,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100228
61,243,2,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100301
66,247,4,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100302
71,251,7,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100303
76,254,9,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100304
81,259,11,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100305
86,263,13,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100306
91,267,15,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100307
97,272,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100308
102,276,20,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100309
107,281,22,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100310
112,286,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100311
118,291,26,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100312
123,296,28,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100313
129,301,30,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100314
134,307,32,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100315
140,313,35,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100316
145,318,37,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100317
151,324,39,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100318
156,330,42,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100319
161,336,45,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100320
167,343,47,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100321
172,349,50,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100322
178,356,52,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100323
183,363,55,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100324
189,369,57,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100325
194,376,60,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100326
199,383,62,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100327
205,390,64,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100328
210,397,67,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100329
215,405,69,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100330
221,412,72,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100331
226,419,2,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100401
231,426,5,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100402
236,434,7,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100403
241,441,10,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100404
246,448,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100405
251,456,15,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100406
256,463,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100407
261,470,20,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100408
266,477,23,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100409
270,484,25,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100410
275,491,28,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100411
280,498,30,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100412
284,505,33,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100413
289,512,36,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100414
294,518,38,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100415
298,525,41,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100416
302,531,44,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100417
307,537,47,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100418
311,543,50,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100419
315,549,53,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100420
320,555,56,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100421
324,560,60,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100422
328,566,64,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100423
332,571,68,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100424
336,576,73,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100425
340,581,77,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100426
344,586,82,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100427
348,591,88,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100428
352,596,93,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100429
356,600,98,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100430
360,604,6,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100501
364,609,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100502
368,613,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100503
371,617,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100504
375,620,30,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100505
379,624,37,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100506
383,628,44,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100507
387,631,51,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100508
391,635,58,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100509
394,638,66,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100510
398,642,74,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100511
402,645,82,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100512
406,648,90,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100513
409,651,98,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100514
413,654,105,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100515
417,657,113,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100516
421,660,122,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100517
425,663,131,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100518
428,666,139,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100519
432,669,148,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100520
436,672,156,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100521
440,675,165,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100522
444,678,173,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100523
447,681,182,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100524
451,684,191,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100525
455,687,200,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100526
459,690,209,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100527
462,693,218,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100528
466,696,228,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100529
470,699,238,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100530
473,702,249,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100531
477,705,11,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100601
481,708,22,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100602
484,711,33,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100603
488,714,45,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100604
491,717,56,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100605
495,719,67,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100606
498,722,79,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100607
501,725,90,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100608
505,728,102,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100609
508,731,114,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100610
511,733,126,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100611
514,736,138,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100612
517,739,151,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100613
520,741,165,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100614
523,744,177,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100615
525,746,190,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100616
528,749,204,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100617
531,751,217,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100618
533,753,231,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100619
536,756,244,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100620
538,758,258,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100621
540,760,271,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100622
542,762,284,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100623
544,764,298,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100624
546,766,311,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100625
548,768,324,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100626
549,769,338,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100627
551,771,351,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100628
553,773,363,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100629
554,774,376,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100630
555,776,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100701
