DLY-TMIN-NORMAL,DLY-TMAX-NORMAL,MTD-PRCP-NORMAL,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE
557,778,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100702
558,779,37,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100703
559,780,49,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100704
560,782,61,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100705
561,783,73,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100706
562,784,85,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100707
562,786,97,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100708
563,787,109,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100709
564,788,121,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100710
564,789,131,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100711
565,790,142,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100712
565,791,153,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100713
566,792,163,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100714
566,793,174,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100715
566,794,184,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100716
566,795,194,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100717
567,796,203,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100718
567,797,213,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100719
567,798,223,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100720
567,799,233,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100721
567,800,243,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100722
567,800,252,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100723
567,801,261,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100724
566,802,270,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100725
566,802,279,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100726
566,803,287,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100727
566,803,296,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100728
565,804,304,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100729
565,804,313,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100730
564,805,322,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100731
564,805,9,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100801
563,805,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100802
563,805,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100803
562,805,36,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100804
561,805,45,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100805
560,804,53,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100806
559,804,62,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100807
558,804,70,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100808
557,803,79,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100809
556,802,88,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100810
555,801,98,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100811
553,800,107,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100812
552,799,116,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100813
550,798,125,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100814
548,796,134,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100815
546,795,143,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100816
544,793,152,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100817
542,791,161,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100818
540,789,170,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100819
538,787,179,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100820
535,784,188,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100821
533,782,197,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100822
530,779,206,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100823
527,777,216,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100824
524,774,225,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100825
521,770,234,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100826
518,767,242,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100827
515,764,250,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100828
511,760,259,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100829
508,757,267,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100830
504,753,275,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100831
501,749,8,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100901
497,745,16,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100902
493,741,23,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100903
489,737,31,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100904
485,733,39,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100905
481,729,46,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100906
476,725,54,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100907
472,720,61,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100908
468,716,68,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100909
463,711,75,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100910
459,707,82,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100911
454,702,89,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100912
450,697,96,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100913
445,693,103,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100914
441,688,109,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100915
436,684,116,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100916
431,679,122,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100917
427,674,129,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100918
422,669,135,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100919
418,665,142,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100920
413,660,148,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100921
409,655,154,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100922
404,650,161,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100923
400,646,168,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100924
395,641,174,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100925
391,636,181,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100926
387,631,188,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100927
382,627,195,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100928
378,622,202,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100929
374,617,208,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100930
370,612,7,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101001
366,607,13,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101002
361,602,20,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101003
357,597,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101004
353,592,33,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101005
349,587,40,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101006
346,582,46,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101007
342,577,53,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101008
338,572,58,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101009
334,567,64,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101010
330,562,70,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101011
326,556,76,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101012
322,551,82,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101013
318,545,88,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101014
315,540,94,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101015
311,534,100,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101016
307,528,106,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101017
303,522,112,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101018
299,516,117,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101019
295,511,123,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101020
291,504,128,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101021
287,498,133,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101022
283,492,137,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101023
279,486,141,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101024
274,479,145,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101025
270,473,149,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101026
266,466,154,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101027
261,460,158,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101028
257,453,161,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101029
252,447,165,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101030
248,440,169,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101031
243,433,3,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101101
238,426,6,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101102
233,419,9,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101103
228,413,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101104
223,406,15,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101105
218,399,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101106
213,392,21,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101107
207,385,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101108
202,378,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101109
197,371,30,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101110
191,365,32,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101111
186,358,35,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101112
180,351,38,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101113
175,344,41,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101114
169,338,43,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101115
163,331,46,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101116
157,325,49,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101117
152,318,51,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101118
146,312,54,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101119
140,306,57,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101120
134,300,60,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101121
129,294,62,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101122
123,288,65,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101123
117,282,67,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101124
112,276,70,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101125
106,271,72,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101126
100,265,74,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101127
95,260,77,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101128
89,254,79,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101129
84,249,81,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101130
78,244,3,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101201
73,239,5,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101202
68,234,8,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101203
63,230,11,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101204
58,225,13,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101205
53,221,16,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101206
48,216,19,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101207
44,212,22,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101208
39,208,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101209
34,204,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101210
30,200,30,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101211
26,196,32,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101212
22,193,35,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101213
18,189,37,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101214
14,186,39,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101215
10,182,41,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101216
7,179,44,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101217
3,176,46,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101218
0,173,48,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101219
-4,170,50,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101220
-7,168,52,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101221
-10,165,53,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101222
-13,162,55,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101223
-15,160,58,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101224
-18,158,60,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101225
-21,156,62,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101226
-23,154,64,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101227
-25,152,67,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101228
-27,150,69,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101229
-29,148,71,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101230
-31,147,73,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20101231
